,var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var2(t)
41,86.0,-11.0,-9.0,1020.0,SE,124.71,22.0,0.0,70.0
42,70.0,-11.0,-9.0,1020.0,SE,127.84,23.0,0.0,61.0
43,61.0,-11.0,-9.0,1021.0,cv,0.89,24.0,0.0,53.0
44,53.0,-11.0,-9.0,1022.0,cv,1.78,25.0,0.0,71.0
45,71.0,-10.0,-9.0,1022.0,NW,4.02,26.0,0.0,72.0
46,72.0,-11.0,-10.0,1023.0,NW,7.15,27.0,0.0,76.0
47,76.0,-11.0,-9.0,1023.0,NW,11.17,0.0,0.0,73.0
48,73.0,-12.0,-11.0,1023.0,NW,14.3,0.0,0.0,79.0
49,79.0,-14.0,-12.0,1023.0,NW,16.09,0.0,0.0,58.0
50,58.0,-16.0,-9.0,1023.0,NW,21.9,0.0,0.0,25.0
51,25.0,-17.0,-10.0,1024.0,NW,29.95,0.0,0.0,26.0
52,26.0,-18.0,-11.0,1024.0,NW,39.78,0.0,0.0,28.0
53,28.0,-19.0,-11.0,1025.0,NW,48.72,0.0,0.0,26.0
54,26.0,-20.0,-12.0,1026.0,NW,55.87,0.0,0.0,20.0
55,20.0,-21.0,-12.0,1027.0,NW,64.81,0.0,0.0,29.0
56,29.0,-21.0,-13.0,1027.0,NW,73.75,0.0,0.0,26.0
57,26.0,-22.0,-13.0,1028.0,NW,80.9,0.0,0.0,27.0
58,27.0,-22.0,-13.0,1029.0,NW,90.73,0.0,0.0,27.0
59,27.0,-22.0,-12.0,1030.0,NW,100.56,0.0,0.0,25.0
60,25.0,-23.0,-12.0,1031.0,NW,108.61,0.0,0.0,29.0
61,29.0,-21.0,-11.0,1030.0,NW,117.55,0.0,0.0,32.0
62,32.0,-20.0,-10.0,1030.0,NW,127.38,0.0,0.0,28.0
63,28.0,-21.0,-10.0,1030.0,NW,136.32,0.0,0.0,29.0
64,29.0,-21.0,-9.0,1030.0,NW,145.26,0.0,0.0,30.0
65,30.0,-21.0,-9.0,1031.0,NW,152.41,0.0,0.0,30.0
66,30.0,-20.0,-11.0,1032.0,NW,159.56,0.0,0.0,28.0
67,28.0,-23.0,-11.0,1032.0,NW,165.37,0.0,0.0,26.0
68,26.0,-21.0,-12.0,1033.0,NW,171.18,0.0,0.0,31.0
69,31.0,-24.0,-12.0,1034.0,NW,180.12,0.0,0.0,33.0
70,33.0,-24.0,-13.0,1034.0,NW,187.27,0.0,0.0,29.0
71,29.0,-24.0,-13.0,1035.0,NW,195.32,0.0,0.0,31.0
72,31.0,-26.0,-15.0,1035.0,NW,198.45,0.0,0.0,30.0
73,30.0,-26.0,-17.0,1035.0,NW,201.58,0.0,0.0,34.0
74,34.0,-26.0,-18.0,1035.0,NW,205.6,0.0,0.0,27.0
75,27.0,-26.0,-19.0,1035.0,NW,208.73,0.0,0.0,25.0
76,25.0,-27.0,-18.0,1035.0,NW,213.65,0.0,0.0,28.0
77,28.0,-27.0,-19.0,1035.0,NW,218.57,0.0,0.0,28.0
78,28.0,-27.0,-16.0,1034.0,NE,4.92,0.0,0.0,27.0
79,27.0,-26.0,-16.0,1035.0,NE,8.05,0.0,0.0,27.0
80,27.0,-27.0,-16.0,1034.0,NE,13.86,0.0,0.0,27.0
81,27.0,-26.0,-16.0,1035.0,NE,18.78,0.0,0.0,29.0
82,29.0,-26.0,-15.0,1035.0,NE,24.59,0.0,0.0,36.0
83,36.0,-25.0,-14.0,1035.0,NE,29.51,0.0,0.0,30.0
84,30.0,-25.0,-13.0,1035.0,NE,34.43,0.0,0.0,27.0
85,27.0,-25.0,-12.0,1034.0,NE,39.35,0.0,0.0,39.0
86,39.0,-24.0,-11.0,1032.0,NE,41.14,0.0,0.0,41.0
87,41.0,-22.0,-11.0,1032.0,cv,0.89,0.0,0.0,33.0
88,33.0,-23.0,-11.0,1031.0,NW,1.79,0.0,0.0,50.0
89,50.0,-24.0,-11.0,1031.0,NW,3.58,0.0,0.0,56.0
90,56.0,-23.0,-11.0,1031.0,NW,5.37,0.0,0.0,59.0
91,59.0,-23.0,-11.0,1032.0,NW,7.16,0.0,0.0,60.0
92,60.0,-22.0,-13.0,1033.0,NW,10.29,0.0,0.0,84.0
93,84.0,-22.0,-12.0,1033.0,NW,13.42,0.0,0.0,106.0
94,106.0,-24.0,-18.0,1033.0,NW,16.55,0.0,0.0,66.0
95,66.0,-22.0,-13.0,1034.0,NW,20.57,0.0,0.0,50.0
96,50.0,-22.0,-16.0,1033.0,NW,23.7,0.0,0.0,56.0
97,56.0,-25.0,-17.0,1033.0,NW,26.83,0.0,0.0,77.0
98,77.0,-25.0,-14.0,1033.0,NE,4.02,0.0,0.0,50.0
99,50.0,-26.0,-14.0,1034.0,NE,8.04,0.0,0.0,44.0
100,44.0,-26.0,-14.0,1033.0,NE,13.85,0.0,0.0,27.0
101,27.0,-26.0,-14.0,1033.0,NE,17.87,0.0,0.0,28.0
102,28.0,-26.0,-14.0,1033.0,NE,23.68,0.0,0.0,21.0
103,21.0,-26.0,-14.0,1033.0,NE,28.6,0.0,0.0,25.0
104,25.0,-26.0,-15.0,1034.0,NE,33.52,0.0,0.0,20.0
105,20.0,-26.0,-14.0,1034.0,NE,39.33,0.0,0.0,29.0
106,29.0,-25.0,-13.0,1035.0,NE,44.25,0.0,0.0,34.0
107,34.0,-25.0,-12.0,1035.0,NE,50.06,0.0,0.0,42.0
108,42.0,-24.0,-11.0,1035.0,NE,54.98,0.0,0.0,28.0
109,28.0,-24.0,-10.0,1034.0,NE,59.0,0.0,0.0,36.0
110,36.0,-22.0,-10.0,1033.0,NW,4.02,0.0,0.0,48.0
111,48.0,-22.0,-9.0,1033.0,NW,5.81,0.0,0.0,49.0
112,49.0,-22.0,-8.0,1033.0,cv,0.89,0.0,0.0,52.0
113,52.0,-22.0,-8.0,1033.0,NW,1.79,0.0,0.0,56.0
114,56.0,-21.0,-9.0,1033.0,NW,3.58,0.0,0.0,96.0
115,96.0,-22.0,-9.0,1033.0,NW,5.37,0.0,0.0,75.0
116,75.0,-22.0,-14.0,1034.0,cv,0.89,0.0,0.0,105.0
117,105.0,-22.0,-12.0,1035.0,NW,1.79,0.0,0.0,132.0
118,132.0,-21.0,-14.0,1034.0,NW,3.58,0.0,0.0,93.0
119,93.0,-22.0,-16.0,1035.0,NW,5.37,0.0,0.0,131.0
120,131.0,-21.0,-16.0,1035.0,NW,7.16,0.0,0.0,127.0
121,127.0,-21.0,-16.0,1035.0,NW,8.95,0.0,0.0,130.0
122,130.0,-21.0,-16.0,1035.0,cv,0.45,0.0,0.0,43.0
123,43.0,-22.0,-18.0,1036.0,cv,1.34,0.0,0.0,37.0
124,37.0,-23.0,-15.0,1036.0,NW,4.02,0.0,0.0,30.0
125,30.0,-24.0,-16.0,1035.0,NW,7.15,0.0,0.0,28.0
126,28.0,-25.0,-15.0,1035.0,NW,10.28,0.0,0.0,24.0
127,24.0,-24.0,-15.0,1035.0,NW,14.3,0.0,0.0,23.0
128,23.0,-25.0,-13.0,1036.0,NE,4.92,0.0,0.0,24.0
129,24.0,-24.0,-14.0,1036.0,NW,4.02,0.0,0.0,27.0
130,27.0,-23.0,-12.0,1036.0,NW,8.94,0.0,0.0,40.0
131,40.0,-22.0,-11.0,1036.0,NW,12.96,0.0,0.0,42.0
132,42.0,-20.0,-10.0,1036.0,NW,16.09,0.0,0.0,42.0
133,42.0,-21.0,-9.0,1035.0,NW,19.22,0.0,0.0,55.0
134,55.0,-21.0,-8.0,1034.0,NW,21.01,0.0,0.0,52.0
135,52.0,-20.0,-7.0,1033.0,NW,22.8,0.0,0.0,51.0
136,51.0,-20.0,-7.0,1032.0,NW,24.59,0.0,0.0,57.0
137,57.0,-18.0,-8.0,1032.0,NW,26.38,0.0,0.0,50.0
138,50.0,-19.0,-9.0,1032.0,NW,28.17,0.0,0.0,54.0
139,54.0,-19.0,-11.0,1032.0,NE,0.89,0.0,0.0,67.0
140,67.0,-18.0,-11.0,1033.0,NW,1.79,0.0,0.0,106.0
141,106.0,-19.0,-15.0,1032.0,NE,1.79,0.0,0.0,159.0
142,159.0,-19.0,-14.0,1032.0,cv,0.45,0.0,0.0,198.0
143,198.0,-21.0,-14.0,1032.0,cv,1.34,0.0,0.0,190.0
144,190.0,-21.0,-16.0,1032.0,cv,2.23,0.0,0.0,210.0
145,210.0,-21.0,-17.0,1031.0,NW,1.79,0.0,0.0,195.0
146,195.0,-19.0,-16.0,1031.0,NW,3.58,0.0,0.0,275.0
147,275.0,-20.0,-16.0,1031.0,NE,0.89,0.0,0.0,164.0
148,164.0,-19.0,-15.0,1030.0,SE,0.89,0.0,0.0,110.0
149,110.0,-18.0,-15.0,1030.0,cv,0.45,0.0,0.0,100.0
150,100.0,-18.0,-15.0,1029.0,cv,1.34,0.0,0.0,81.0
151,81.0,-18.0,-15.0,1029.0,NW,1.79,0.0,0.0,71.0
152,71.0,-16.0,-13.0,1029.0,NE,0.89,0.0,0.0,66.0
153,66.0,-16.0,-12.0,1029.0,SE,0.89,0.0,0.0,92.0
154,92.0,-16.0,-12.0,1030.0,SE,1.78,0.0,0.0,135.0
155,135.0,-17.0,-10.0,1030.0,NE,0.89,0.0,0.0,155.0
156,155.0,-16.0,-10.0,1029.0,cv,0.89,0.0,0.0,198.0
157,198.0,-16.0,-9.0,1028.0,SE,3.13,0.0,0.0,250.0
158,250.0,-15.0,-8.0,1026.0,SE,4.92,0.0,0.0,200.0
159,200.0,-16.0,-8.0,1026.0,cv,0.89,0.0,0.0,231.0
160,231.0,-16.0,-8.0,1025.0,cv,1.78,0.0,0.0,250.0
161,250.0,-16.0,-8.0,1025.0,cv,2.67,0.0,0.0,212.0
162,212.0,-17.0,-8.0,1025.0,SE,0.89,0.0,0.0,219.0
163,219.0,-17.0,-9.0,1026.0,cv,0.45,0.0,0.0,227.0
164,227.0,-17.0,-11.0,1026.0,cv,1.34,0.0,0.0,226.0
165,226.0,-17.0,-12.0,1026.0,cv,1.79,0.0,0.0,225.0
166,225.0,-18.0,-14.0,1027.0,NW,1.79,0.0,0.0,168.0
167,168.0,-16.0,-9.0,1027.0,NW,4.92,0.0,0.0,169.0
168,169.0,-16.0,-11.0,1027.0,NW,6.71,0.0,0.0,165.0
169,165.0,-17.0,-13.0,1027.0,cv,0.89,0.0,0.0,159.0
170,159.0,-17.0,-13.0,1027.0,NW,3.13,0.0,0.0,167.0
171,167.0,-17.0,-14.0,1027.0,NW,4.92,0.0,0.0,196.0
172,196.0,-17.0,-15.0,1027.0,NW,8.05,0.0,0.0,169.0
173,169.0,-17.0,-13.0,1027.0,NW,9.84,0.0,0.0,155.0
174,155.0,-19.0,-16.0,1027.0,NW,13.86,0.0,0.0,119.0
175,119.0,-18.0,-15.0,1027.0,NW,17.88,0.0,0.0,106.0
176,106.0,-19.0,-15.0,1027.0,NW,21.9,0.0,0.0,93.0
177,93.0,-18.0,-14.0,1028.0,NW,25.92,0.0,0.0,84.0
178,84.0,-18.0,-9.0,1029.0,NE,5.81,0.0,0.0,73.0
179,73.0,-17.0,-7.0,1029.0,NE,11.62,0.0,0.0,66.0
180,66.0,-17.0,-6.0,1030.0,NE,17.43,0.0,0.0,40.0
181,40.0,-16.0,-6.0,1029.0,NE,23.24,0.0,0.0,49.0
182,49.0,-16.0,-5.0,1029.0,NE,28.16,0.0,0.0,50.0
183,50.0,-15.0,-4.0,1029.0,NE,33.08,0.0,0.0,49.0
184,49.0,-14.0,-4.0,1028.0,NE,37.1,0.0,0.0,41.0
185,41.0,-15.0,-4.0,1029.0,NE,38.89,0.0,0.0,37.0
186,37.0,-15.0,-4.0,1030.0,NW,1.79,0.0,0.0,45.0
187,45.0,-15.0,-7.0,1030.0,NE,3.13,0.0,0.0,44.0
188,44.0,-15.0,-6.0,1031.0,NW,3.13,0.0,0.0,54.0
189,54.0,-15.0,-7.0,1032.0,NW,4.92,0.0,0.0,50.0
190,50.0,-15.0,-6.0,1032.0,NE,3.13,0.0,0.0,47.0
191,47.0,-15.0,-8.0,1033.0,cv,0.45,0.0,0.0,66.0
192,66.0,-15.0,-8.0,1033.0,cv,0.9,0.0,0.0,75.0
193,75.0,-15.0,-11.0,1033.0,NW,0.89,0.0,0.0,82.0
194,82.0,-17.0,-13.0,1033.0,NW,1.78,0.0,0.0,66.0
195,66.0,-17.0,-12.0,1033.0,NW,4.91,0.0,0.0,83.0
196,83.0,-17.0,-13.0,1033.0,NW,8.04,0.0,0.0,62.0
197,62.0,-19.0,-14.0,1032.0,NW,9.83,0.0,0.0,40.0
198,40.0,-18.0,-13.0,1032.0,NW,12.96,0.0,0.0,23.0
199,23.0,-19.0,-13.0,1032.0,NW,16.09,0.0,0.0,25.0
200,25.0,-19.0,-14.0,1033.0,NW,19.22,0.0,0.0,27.0
201,27.0,-19.0,-14.0,1034.0,NW,22.35,0.0,0.0,35.0
202,35.0,-17.0,-12.0,1033.0,NW,24.14,0.0,0.0,50.0
203,50.0,-16.0,-7.0,1033.0,NE,4.02,0.0,0.0,70.0
204,70.0,-15.0,-7.0,1033.0,NW,3.13,0.0,0.0,75.0
205,75.0,-15.0,-7.0,1032.0,NW,6.26,0.0,0.0,58.0
206,58.0,-14.0,-6.0,1031.0,NW,9.39,0.0,0.0,70.0
207,70.0,-14.0,-6.0,1031.0,NW,12.52,0.0,0.0,68.0
208,68.0,-13.0,-5.0,1030.0,NW,14.31,0.0,0.0,71.0
209,71.0,-14.0,-5.0,1031.0,NW,16.1,0.0,0.0,88.0
210,88.0,-14.0,-6.0,1031.0,NW,19.23,0.0,0.0,84.0
211,84.0,-13.0,-7.0,1032.0,NW,23.25,0.0,0.0,83.0
212,83.0,-15.0,-6.0,1032.0,NW,27.27,0.0,0.0,66.0
213,66.0,-15.0,-6.0,1033.0,NW,30.4,0.0,0.0,27.0
214,27.0,-15.0,-4.0,1034.0,NW,35.32,0.0,0.0,24.0
215,24.0,-16.0,-4.0,1034.0,NW,44.26,0.0,0.0,22.0
216,22.0,-17.0,-5.0,1035.0,NW,52.31,0.0,0.0,23.0
217,23.0,-17.0,-6.0,1035.0,NW,60.36,0.0,0.0,27.0
218,27.0,-17.0,-8.0,1035.0,cv,0.89,0.0,0.0,23.0
219,23.0,-19.0,-11.0,1036.0,NW,4.02,0.0,0.0,17.0
220,17.0,-20.0,-11.0,1036.0,NW,8.94,0.0,0.0,17.0
221,17.0,-21.0,-11.0,1035.0,NE,4.02,0.0,0.0,16.0
222,16.0,-22.0,-12.0,1035.0,NW,3.13,0.0,0.0,16.0
223,16.0,-22.0,-12.0,1035.0,NE,4.92,0.0,0.0,20.0
224,20.0,-22.0,-13.0,1036.0,NW,5.81,0.0,0.0,20.0
225,20.0,-22.0,-9.0,1036.0,NW,13.86,0.0,0.0,18.0
226,18.0,-22.0,-10.0,1036.0,NW,21.91,0.0,0.0,25.0
227,25.0,-22.0,-9.0,1036.0,NW,29.06,0.0,0.0,26.0
228,26.0,-21.0,-9.0,1036.0,NW,33.08,0.0,0.0,27.0
229,27.0,-20.0,-6.0,1035.0,NW,42.02,0.0,0.0,28.0
230,28.0,-19.0,-5.0,1034.0,NW,50.96,0.0,0.0,15.0
231,15.0,-19.0,-5.0,1033.0,NW,59.01,0.0,0.0,24.0
232,24.0,-20.0,-5.0,1033.0,NW,66.16,0.0,0.0,13.0
233,13.0,-20.0,-5.0,1032.0,NW,71.97,0.0,0.0,13.0
234,13.0,-20.0,-5.0,1033.0,NW,76.89,0.0,0.0,13.0
235,13.0,-20.0,-7.0,1033.0,NW,81.81,0.0,0.0,17.0
236,17.0,-22.0,-7.0,1033.0,NW,85.83,0.0,0.0,20.0
237,20.0,-22.0,-8.0,1033.0,NW,89.85,0.0,0.0,27.0
238,27.0,-23.0,-10.0,1033.0,NW,91.64,0.0,0.0,20.0
239,20.0,-23.0,-13.0,1033.0,NW,93.43,0.0,0.0,15.0
240,15.0,-22.0,-12.0,1032.0,cv,0.89,0.0,0.0,21.0
241,21.0,-22.0,-15.0,1031.0,cv,1.78,0.0,0.0,21.0
242,21.0,-22.0,-14.0,1031.0,NE,1.79,0.0,0.0,37.0
243,37.0,-22.0,-14.0,1031.0,NW,0.89,0.0,0.0,26.0
244,26.0,-24.0,-18.0,1030.0,NE,1.79,0.0,0.0,15.0
245,15.0,-24.0,-13.0,1030.0,NE,3.58,0.0,0.0,9.0
246,9.0,-25.0,-14.0,1030.0,NW,3.13,0.0,0.0,11.0
247,11.0,-24.0,-14.0,1030.0,NW,7.15,0.0,0.0,11.0
248,11.0,-25.0,-12.0,1030.0,NW,12.96,0.0,0.0,16.0
249,16.0,-26.0,-14.0,1030.0,NW,16.98,0.0,0.0,13.0
250,13.0,-25.0,-12.0,1031.0,NW,21.0,0.0,0.0,15.0
251,15.0,-25.0,-11.0,1031.0,NW,26.81,0.0,0.0,21.0
252,21.0,-24.0,-11.0,1030.0,NW,35.75,0.0,0.0,24.0
253,24.0,-23.0,-11.0,1029.0,NW,47.82,0.0,0.0,22.0
254,22.0,-22.0,-11.0,1029.0,NW,63.02,0.0,0.0,22.0
255,22.0,-23.0,-11.0,1029.0,NW,75.98,0.0,0.0,22.0
256,22.0,-22.0,-11.0,1029.0,NW,88.05,0.0,0.0,19.0
257,19.0,-23.0,-11.0,1030.0,NW,101.01,0.0,0.0,23.0
258,23.0,-24.0,-11.0,1030.0,NW,109.06,0.0,0.0,25.0
259,25.0,-24.0,-11.0,1032.0,NW,118.0,0.0,0.0,25.0
260,25.0,-23.0,-11.0,1032.0,NW,126.05,0.0,0.0,31.0
261,31.0,-23.0,-12.0,1032.0,NW,134.1,0.0,0.0,25.0
262,25.0,-24.0,-12.0,1033.0,NW,142.15,0.0,0.0,22.0
263,22.0,-23.0,-12.0,1033.0,NW,150.2,0.0,0.0,22.0
264,22.0,-23.0,-12.0,1034.0,NW,160.03,0.0,0.0,15.0
265,15.0,-24.0,-12.0,1034.0,NW,169.86,0.0,0.0,16.0
266,16.0,-24.0,-12.0,1033.0,NW,178.8,0.0,0.0,11.0
267,11.0,-25.0,-12.0,1033.0,NW,189.98,0.0,0.0,11.0
268,11.0,-24.0,-13.0,1033.0,NW,198.03,0.0,0.0,12.0
269,12.0,-25.0,-12.0,1032.0,NW,205.18,0.0,0.0,11.0
270,11.0,-25.0,-12.0,1033.0,NW,215.01,0.0,0.0,12.0
271,12.0,-25.0,-12.0,1032.0,NW,226.19,0.0,0.0,27.0
272,27.0,-25.0,-12.0,1032.0,NW,235.13,0.0,0.0,28.0
273,28.0,-25.0,-12.0,1032.0,NW,243.18,0.0,0.0,34.0
274,34.0,-23.0,-11.0,1033.0,NW,252.12,0.0,0.0,33.0
275,33.0,-23.0,-10.0,1033.0,NW,257.93,0.0,0.0,36.0
276,36.0,-22.0,-9.0,1033.0,NW,263.74,0.0,0.0,26.0
277,26.0,-21.0,-8.0,1031.0,NW,270.89,0.0,0.0,49.0
278,49.0,-21.0,-6.0,1030.0,NW,278.94,0.0,0.0,52.0
279,52.0,-20.0,-5.0,1029.0,NW,286.99,0.0,0.0,47.0
280,47.0,-22.0,-5.0,1028.0,NW,294.14,0.0,0.0,47.0
281,47.0,-21.0,-5.0,1028.0,NW,299.06,0.0,0.0,39.0
282,39.0,-19.0,-7.0,1028.0,SE,1.79,0.0,0.0,59.0
283,59.0,-19.0,-8.0,1028.0,cv,0.45,0.0,0.0,76.0
284,76.0,-20.0,-9.0,1028.0,cv,1.34,0.0,0.0,96.0
285,96.0,-19.0,-10.0,1027.0,SE,1.79,0.0,0.0,95.0
286,95.0,-19.0,-13.0,1027.0,cv,0.89,0.0,0.0,68.0
287,68.0,-18.0,-12.0,1027.0,cv,1.78,0.0,0.0,65.0
288,65.0,-18.0,-13.0,1027.0,NE,0.89,0.0,0.0,75.0
289,75.0,-18.0,-14.0,1026.0,NE,1.78,0.0,0.0,257.0
290,257.0,-20.0,-15.0,1025.0,NE,2.67,0.0,0.0,174.0
291,174.0,-20.0,-15.0,1025.0,NW,0.89,0.0,0.0,164.0
292,164.0,-20.0,-16.0,1025.0,NW,1.78,0.0,0.0,161.0
293,161.0,-20.0,-16.0,1024.0,NW,3.57,0.0,0.0,137.0
294,137.0,-21.0,-17.0,1024.0,NW,6.7,0.0,0.0,92.0
295,92.0,-19.0,-14.0,1023.0,NW,10.72,0.0,0.0,64.0
296,64.0,-21.0,-17.0,1023.0,NW,13.85,0.0,0.0,87.0
297,87.0,-19.0,-15.0,1024.0,NW,15.64,0.0,0.0,87.0
298,87.0,-19.0,-14.0,1024.0,NW,18.77,0.0,0.0,84.0
299,84.0,-18.0,-10.0,1024.0,NW,22.79,0.0,0.0,95.0
300,95.0,-17.0,-9.0,1023.0,NW,24.58,0.0,0.0,79.0
301,79.0,-16.0,-6.0,1023.0,NW,26.37,0.0,0.0,75.0
302,75.0,-17.0,-5.0,1022.0,NW,28.16,0.0,0.0,79.0
303,79.0,-16.0,-5.0,1022.0,NW,29.95,0.0,0.0,86.0
304,86.0,-15.0,-4.0,1022.0,NW,33.08,0.0,0.0,72.0
305,72.0,-16.0,-4.0,1023.0,cv,0.89,0.0,0.0,89.0
306,89.0,-15.0,-5.0,1025.0,SE,1.79,0.0,0.0,94.0
307,94.0,-14.0,-3.0,1026.0,NW,5.81,0.0,0.0,69.0
308,69.0,-16.0,-3.0,1027.0,NW,11.62,0.0,0.0,49.0
309,49.0,-15.0,-4.0,1029.0,NW,20.56,0.0,0.0,33.0
310,33.0,-16.0,-5.0,1031.0,NW,24.58,0.0,0.0,27.0
311,27.0,-17.0,-6.0,1032.0,NE,3.13,0.0,0.0,20.0
312,20.0,-18.0,-6.0,1033.0,NE,8.05,0.0,0.0,36.0
313,36.0,-19.0,-7.0,1034.0,NE,13.86,0.0,0.0,37.0
314,37.0,-17.0,-8.0,1035.0,NW,5.81,0.0,0.0,30.0
315,30.0,-18.0,-10.0,1035.0,NW,11.62,0.0,0.0,18.0
316,18.0,-19.0,-10.0,1036.0,NW,14.75,0.0,0.0,21.0
317,21.0,-19.0,-9.0,1036.0,NW,19.67,0.0,0.0,13.0
318,13.0,-19.0,-9.0,1036.0,NE,7.15,0.0,0.0,23.0
319,23.0,-20.0,-9.0,1037.0,NE,12.96,0.0,0.0,26.0
320,26.0,-19.0,-9.0,1037.0,NE,18.77,0.0,0.0,27.0
321,27.0,-19.0,-8.0,1038.0,NE,22.79,0.0,0.0,30.0
322,30.0,-19.0,-8.0,1039.0,NE,28.6,0.0,0.0,28.0
323,28.0,-19.0,-7.0,1039.0,NE,35.75,0.0,0.0,26.0
324,26.0,-18.0,-6.0,1039.0,NE,41.56,0.0,0.0,26.0
325,26.0,-18.0,-5.0,1039.0,NE,45.58,0.0,0.0,31.0
326,31.0,-17.0,-4.0,1038.0,NW,1.79,0.0,0.0,35.0
327,35.0,-16.0,-3.0,1037.0,cv,0.89,0.0,0.0,36.0
328,36.0,-17.0,-3.0,1037.0,cv,1.78,0.0,0.0,37.0
329,37.0,-17.0,-2.0,1037.0,cv,2.23,0.0,0.0,64.0
330,64.0,-15.0,-5.0,1036.0,SE,0.89,0.0,0.0,83.0
331,83.0,-15.0,-6.0,1036.0,cv,0.89,0.0,0.0,91.0
332,91.0,-15.0,-6.0,1037.0,cv,1.78,0.0,0.0,90.0
333,90.0,-14.0,-6.0,1037.0,SE,1.79,0.0,0.0,102.0
334,102.0,-14.0,-8.0,1036.0,SE,3.58,0.0,0.0,94.0
335,94.0,-14.0,-10.0,1037.0,cv,0.89,0.0,0.0,87.0
336,87.0,-15.0,-11.0,1036.0,cv,1.78,0.0,0.0,141.0
337,141.0,-15.0,-11.0,1036.0,cv,2.67,0.0,0.0,211.0
338,211.0,-16.0,-13.0,1036.0,NE,0.89,0.0,0.0,242.0
339,242.0,-16.0,-12.0,1036.0,cv,0.89,0.0,0.0,271.0
340,271.0,-16.0,-13.0,1035.0,NE,0.89,0.0,0.0,249.0
341,249.0,-15.0,-12.0,1035.0,NE,1.78,0.0,0.0,200.0
342,200.0,-14.0,-10.0,1034.0,NW,1.79,0.0,0.0,147.0
343,147.0,-15.0,-10.0,1034.0,NW,2.68,0.0,0.0,114.0
344,114.0,-15.0,-11.0,1034.0,NW,4.47,0.0,0.0,102.0
345,102.0,-15.0,-11.0,1034.0,NW,6.26,0.0,0.0,108.0
346,108.0,-14.0,-9.0,1034.0,NW,8.05,0.0,0.0,135.0
